id,lab,casenumber,agency,agency2,collectiondate,datereceived,datecompleted,waterbody,sitename,sitedescription,gnisid,latitude,longitude,datum,watertemp,elevation,statename,county,huc,hucname,commonname,species,speciescode,itistsn,numbercollected,collectionmethod,specimen,numbertested,pathogentested,prelimassay,prelimpoolstested,prelimpoolsdetected,corrobassay,corrobpoolstested,corrobpoolsdetected,pathogendetected
2809874,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Kidney,5,Flavobacterium psychrophilum,Tryptone Yeast Extract Salts Agar,1,,Not Applicable,,,None
2809875,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Kidney,5,Flavobacterium columnaris,Tryptone Yeast Extract Salts Agar,1,,Not Applicable,,,None
2809876,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Kidney,5,Renibacterium salmoninarum,Enzyme-linked immunosorbant Assay,5,,Not Applicable,,,None
2809877,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Cranial Elements,5,Myxobolus cerebralis,Pepsin/Trypsin Digest,1,,Not Applicable,,,None
2809878,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,coho salmon,Oncorhynchus kisutch,COS,161977,4,Electro shocking,Spleen/Kidney,4,Infectious Hematopoietic Necrosis Virus,EPC/CHSE-214 Cell Culture,1,,Not Applicable,,,None
2809879,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,coho salmon,Oncorhynchus kisutch,COS,161977,4,Electro shocking,Spleen/Kidney,4,Infectious Pancreatic Necrosis Virus,EPC/CHSE-214 Cell Culture,1,,Not Applicable,,,None
2809880,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,coho salmon,Oncorhynchus kisutch,COS,161977,4,Electro shocking,Spleen/Kidney,4,Oncorhynchus Masou Virus,EPC/CHSE-214 Cell Culture,1,,Not Applicable,,,None
2809881,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,coho salmon,Oncorhynchus kisutch,COS,161977,4,Electro shocking,Spleen/Kidney,4,Viral Hemorrhagic Septicemia Virus,EPC/CHSE-214 Cell Culture,1,,Not Applicable,,,None
2809882,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,coho salmon,Oncorhynchus kisutch,COS,161977,4,Electro shocking,Spleen/Kidney,4,Infectious Salmon Anemia Virus,EPC/CHSE-214 Cell Culture,1,,Not Applicable,,,None
2809883,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,coho salmon,Oncorhynchus kisutch,COS,161977,4,Electro shocking,Kidney,4,Renibacterium salmoninarum,Enzyme-linked immunosorbant Assay,1,,Not Applicable,,,None
2809884,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,coho salmon,Oncorhynchus kisutch,COS,161977,4,Electro shocking,Kidney,4,Yersinia ruckeri,Brain-Heart Infusion Agar Culture,1,,Not Applicable,,,None
2809885,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,coho salmon,Oncorhynchus kisutch,COS,161977,4,Electro shocking,Kidney,4,Aeromonas salmonicida,Brain-Heart Infusion Agar Culture,1,,Not Applicable,,,None
2809886,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,coho salmon,Oncorhynchus kisutch,COS,161977,4,Electro shocking,Kidney,4,Edwardsiella ictaluri,Brain-Heart Infusion Agar Culture,1,,Not Applicable,,,None
2809887,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,coho salmon,Oncorhynchus kisutch,COS,161977,4,Electro shocking,Kidney,4,Edwardsiella tarda,Brain-Heart Infusion Agar Culture,1,,Not Applicable,,,None
2809888,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,coho salmon,Oncorhynchus kisutch,COS,161977,4,Electro shocking,Kidney,4,Citrobacter freundii,Brain-Heart Infusion Agar Culture,1,,Not Applicable,,,None
2809889,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,coho salmon,Oncorhynchus kisutch,COS,161977,4,Electro shocking,Kidney,4,Flavobacterium psychrophilum,Tryptone Yeast Extract Salts Agar,1,,Not Applicable,,,None
2809890,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,coho salmon,Oncorhynchus kisutch,COS,161977,4,Electro shocking,Kidney,4,Flavobacterium columnaris,Tryptone Yeast Extract Salts Agar,1,,Not Applicable,,,None
2809891,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,coho salmon,Oncorhynchus kisutch,COS,161977,4,Electro shocking,Cranial Elements,4,Myxobolus cerebralis,Pepsin/Trypsin Digest,1,,Not Applicable,,,None
2809892,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,reticulate sculpin,Cottus perplexus,RET,167248,5,Electro shocking,Spleen/Kidney,5,Infectious Hematopoietic Necrosis Virus,EPC/CHSE-214 Cell Culture,1,,Not Applicable,,,None
2809893,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,reticulate sculpin,Cottus perplexus,RET,167248,5,Electro shocking,Spleen/Kidney,5,Infectious Pancreatic Necrosis Virus,EPC/CHSE-214 Cell Culture,1,,Not Applicable,,,None
2809894,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,reticulate sculpin,Cottus perplexus,RET,167248,5,Electro shocking,Spleen/Kidney,5,Oncorhynchus Masou Virus,EPC/CHSE-214 Cell Culture,1,,Not Applicable,,,None
2809895,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,reticulate sculpin,Cottus perplexus,RET,167248,5,Electro shocking,Spleen/Kidney,5,Viral Hemorrhagic Septicemia Virus,EPC/CHSE-214 Cell Culture,1,,Not Applicable,,,None
2809896,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,reticulate sculpin,Cottus perplexus,RET,167248,5,Electro shocking,Spleen/Kidney,5,Infectious Salmon Anemia Virus,EPC/CHSE-214 Cell Culture,1,,Not Applicable,,,None
2809897,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,reticulate sculpin,Cottus perplexus,RET,167248,5,Electro shocking,Kidney,5,Renibacterium salmoninarum,Enzyme-linked immunosorbant Assay,1,,Not Applicable,,,None
2809898,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,reticulate sculpin,Cottus perplexus,RET,167248,5,Electro shocking,Kidney,5,Yersinia ruckeri,Brain-Heart Infusion Agar Culture,1,,Not Applicable,,,None
2809899,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,reticulate sculpin,Cottus perplexus,RET,167248,5,Electro shocking,Kidney,5,Aeromonas salmonicida,Brain-Heart Infusion Agar Culture,1,,Not Applicable,,,None
2809900,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,reticulate sculpin,Cottus perplexus,RET,167248,5,Electro shocking,Kidney,5,Edwardsiella ictaluri,Brain-Heart Infusion Agar Culture,1,,Not Applicable,,,None
2809901,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,reticulate sculpin,Cottus perplexus,RET,167248,5,Electro shocking,Kidney,5,Edwardsiella tarda,Brain-Heart Infusion Agar Culture,1,,Not Applicable,,,None
2809902,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,reticulate sculpin,Cottus perplexus,RET,167248,5,Electro shocking,Kidney,5,Citrobacter freundii,Brain-Heart Infusion Agar Culture,1,,Not Applicable,,,None
2809903,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,reticulate sculpin,Cottus perplexus,RET,167248,5,Electro shocking,Kidney,5,Flavobacterium psychrophilum,Tryptone Yeast Extract Salts Agar,1,,Not Applicable,,,None
2809904,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,reticulate sculpin,Cottus perplexus,RET,167248,5,Electro shocking,Kidney,5,Flavobacterium columnaris,Tryptone Yeast Extract Salts Agar,1,,Not Applicable,,,None
2809905,Idaho Fish Health Center,ID2005-35,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,Oneonta Creek,,right off highway 84,1147226,45.5887,-122.0733,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,reticulate sculpin,Cottus perplexus,RET,167248,5,Electro shocking,Cranial Elements,5,Myxobolus cerebralis,Pepsin/Trypsin Digest,1,,Not Applicable,,,None
2809906,Idaho Fish Health Center,ID2005-36,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,McCord Creek,,right off highway 84,1145943,45.614,-121.9947,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Spleen/Kidney,5,Infectious Hematopoietic Necrosis Virus,EPC/CHSE-214 Cell Culture,1,,Not Applicable,,,None
2809907,Idaho Fish Health Center,ID2005-36,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,McCord Creek,,right off highway 84,1145943,45.614,-121.9947,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Spleen/Kidney,5,Infectious Pancreatic Necrosis Virus,EPC/CHSE-214 Cell Culture,1,,Not Applicable,,,None
2809908,Idaho Fish Health Center,ID2005-36,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,McCord Creek,,right off highway 84,1145943,45.614,-121.9947,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Spleen/Kidney,5,Oncorhynchus Masou Virus,EPC/CHSE-214 Cell Culture,1,,Not Applicable,,,None
2809909,Idaho Fish Health Center,ID2005-36,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,McCord Creek,,right off highway 84,1145943,45.614,-121.9947,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Spleen/Kidney,5,Viral Hemorrhagic Septicemia Virus,EPC/CHSE-214 Cell Culture,1,,Not Applicable,,,None
2809910,Idaho Fish Health Center,ID2005-36,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,McCord Creek,,right off highway 84,1145943,45.614,-121.9947,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Spleen/Kidney,5,Infectious Salmon Anemia Virus,EPC/CHSE-214 Cell Culture,1,,Not Applicable,,,None
2809911,Idaho Fish Health Center,ID2005-36,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,McCord Creek,,right off highway 84,1145943,45.614,-121.9947,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Kidney,5,Renibacterium salmoninarum,Enzyme-linked immunosorbant Assay,1,1,Polymerase Chain Reaction,1,1,Renibacterium salmoninarum
2809912,Idaho Fish Health Center,ID2005-36,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,McCord Creek,,right off highway 84,1145943,45.614,-121.9947,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Kidney,5,Yersinia ruckeri,Brain-Heart Infusion Agar Culture,1,,Not Applicable,,,None
2809913,Idaho Fish Health Center,ID2005-36,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,McCord Creek,,right off highway 84,1145943,45.614,-121.9947,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Kidney,5,Aeromonas salmonicida,Brain-Heart Infusion Agar Culture,1,,Not Applicable,,,None
2809914,Idaho Fish Health Center,ID2005-36,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,McCord Creek,,right off highway 84,1145943,45.614,-121.9947,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Kidney,5,Edwardsiella ictaluri,Brain-Heart Infusion Agar Culture,1,,Not Applicable,,,None
2809915,Idaho Fish Health Center,ID2005-36,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,McCord Creek,,right off highway 84,1145943,45.614,-121.9947,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Kidney,5,Edwardsiella tarda,Brain-Heart Infusion Agar Culture,1,,Not Applicable,,,None
2809916,Idaho Fish Health Center,ID2005-36,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,McCord Creek,,right off highway 84,1145943,45.614,-121.9947,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Kidney,5,Citrobacter freundii,Brain-Heart Infusion Agar Culture,1,,Not Applicable,,,None
2809917,Idaho Fish Health Center,ID2005-36,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,McCord Creek,,right off highway 84,1145943,45.614,-121.9947,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Kidney,5,Flavobacterium psychrophilum,Tryptone Yeast Extract Salts Agar,1,,Not Applicable,,,None
2809918,Idaho Fish Health Center,ID2005-36,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,McCord Creek,,right off highway 84,1145943,45.614,-121.9947,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Kidney,5,Flavobacterium columnaris,Tryptone Yeast Extract Salts Agar,1,,Not Applicable,,,None
2809919,Idaho Fish Health Center,ID2005-36,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,McCord Creek,,right off highway 84,1145943,45.614,-121.9947,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,rainbow trout,Oncorhynchus mykiss,RBT,161989,5,Electro shocking,Cranial Elements,5,Myxobolus cerebralis,Pepsin/Trypsin Digest,1,,Not Applicable,,,None
2809920,Idaho Fish Health Center,ID2005-36,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,McCord Creek,,right off highway 84,1145943,45.614,-121.9947,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,coho salmon,Oncorhynchus kisutch,COS,161977,7,Electro shocking,Spleen/Kidney,7,Infectious Hematopoietic Necrosis Virus,EPC/CHSE-214 Cell Culture,2,,Not Applicable,,,None
2809921,Idaho Fish Health Center,ID2005-36,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,McCord Creek,,right off highway 84,1145943,45.614,-121.9947,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,coho salmon,Oncorhynchus kisutch,COS,161977,7,Electro shocking,Spleen/Kidney,7,Infectious Pancreatic Necrosis Virus,EPC/CHSE-214 Cell Culture,2,,Not Applicable,,,None
2809922,Idaho Fish Health Center,ID2005-36,U.S. Fish & Wildlife Service,Lower Columbia River Fish Health Center,9/17/2005,9/17/2005,1/31/2006,McCord Creek,,right off highway 84,1145943,45.614,-121.9947,WGS84,,,Oregon,Multnomah County,17080001,Lower Columbia,coho salmon,Oncorhynchus kisutch,COS,161977,7,Electro shocking,Spleen/Kidney,7,Oncorhynchus Masou Virus,EPC/CHSE-214 Cell Culture,2,,Not Applicable,,,None
